year,title,artist,genre,peak_pos,wks_on_chart,duration,popularity,energy,danceability,loudness,speechiness,liveness
1961,The Fly,Chubby Checker,Pop,7,13,147000,73,0.26,0.668,-14.256,0.0523,0.0621
1961,Without You,Johnny Tillotson,Pop,7,13,161000,74,0.413,0.662,-7.357,0.0299,0.134
1961,Scotch And Soda,The Kingston Trio,Folk,81,7,153293,32,0.0439,0.543,-19.752,0.041,0.119
1961,Wooden Heart,Joe Dowell,Pop,1,16,121000,43,0.336,0.647,-8.517,0.0645,0.0719
1961,Hats Off To Larry,Del Shannon,Pop,5,13,122000,37,0.719,0.44,-4.469,0.0348,0.322
1961,Please Mr. Postman,The Marvelettes,R&B,1,23,149400,47,0.837,0.781,-5.245,0.0325,0.0565
1961,Pony Time,Chubby Checker,Pop,1,16,148000,39,0.702,0.509,-5.695,0.0514,0.124
1961,Close Together,Jimmy Reed,Blues,68,4,144233,0,0.532,0.755,-11.934,0.0341,0.0781
1961,You Must Have Been A Beautiful Baby,Bobby Darin,Pop,5,11,131000,23,0.544,0.714,-15.721,0.036,0.0551
1961,Poetry In Motion,Johnny Tillotson,Pop,2,15,191000,58,0.597,0.781,-6.771,0.195,0.0758
1961,Playboy,The Marvelettes,R&B,7,15,164840,38,0.691,0.863,-5.611,0.0535,0.0597
1961,Stand By Me,Ben E. King,R&B,4,35,180055,77,0.306,0.65,-9.443,0.0393,0.0707
1961,Trust In Me,Etta James,Blues,30,9,178466,55,0.377,0.486,-6.777,0.0309,0.39
1961,I Love How You Love Me,The Paris Sisters,Pop,5,15,184000,65,0.883,0.692,-4.698,0.0582,0.228
1961,Think Twice,Brook Benton,Pop,11,12,217000,63,0.243,0.6,-17.085,0.0366,0.249
1961,I Feel So Bad,Elvis Presley,Pop,5,9,206000,62,0.821,0.762,-4.17,0.0388,0.259
1961,Crazy,Patsy Cline,Country,9,11,162013,48,0.194,0.584,-13.375,0.0336,0.0829
1961,I Fall To Pieces,Patsy Cline,Country,12,20,171333,61,0.0568,0.54,-20.508,0.0351,0.12
